sex,age,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18,female19,female20,male21,male22,male23,male24,male25,male26,male27,male28,male29,male30,male31,male32,male33,male34,male35,male36,male37,male38,male39,male40,sra
female,17.7,4,5,7,4,6,3,5,4,6,6,5,3,4,1,1,2,1,6,7,6,1,1,2,3,2,2,5,0,2,2,5,2,3,2,5,2,1,2,1,6,4
female,21.2,7,6,5,4,4,5,5,6,6,6,6,5,5,6,7,4,6,5,6,4,6,5,4,5,6,5,5,5,5,5,4,5,5,4,4,5,4,5,5,6,6
female,28.5,6,5,6,6,5,5,3,6,5,4,5,6,6,5,6,3,6,6,4,2,7,1,2,1,1,1,1,3,1,1,6,6,1,1,3,0,2,3,6,1,6
female,29.3,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,6,4,6,4,4,3,4,4,5,4,4,3,4,4,4,4,3,3,3,4,3,4,3,4,5
female,21.5,6,5,4,6,6,6,6,6,7,6,6,5,6,7,2,1,7,7,7,6,6,7,6,5,6,6,4,4,5,4,7,4,3,4,5,5,5,6,4,5,5
female,16.8,6,5,4,6,4,4,4,2,6,4,5,4,4,4,6,6,6,4,6,6,6,4,3,4,4,3,4,4,3,4,4,4,3,4,3,3,1,4,4,5,6
female,21.7,5,6,7,6,6,6,6,6,5,6,4,5,6,6,6,5,7,5,5,5,7,6,4,4,6,6,7,5,4,1,5,6,5,5,5,6,6,6,5,5,5
female,26.7,4,4,5,5,4,4,4,4,5,5,5,3,4,6,5,4,4,1,5,4,4,4,4,4,4,5,3,4,3,1,4,1,2,2,3,3,4,4,4,4,7
female,17.6,6,6,6,6,6,4,6,6,6,6,6,1,6,6,6,5,4,4,5,6,6,6,6,4,6,2,6,5,5,6,6,5,3,5,6,3,1,6,5,6,5
female,27.1,7,6,4,6,6,4,5,5,7,5,5,4,5,5,4,4,6,5,5,5,4,5,5,3,2,4,4,3,1,3,5,1,3,2,3,2,3,4,3,2,7
female,16.9,4,5,3,4,5,2,4,3,4,5,6,5,4,5,3,5,5,4,4,4,4,4,4,5,5,4,4,4,4,3,4,2,3,6,4,5,3,5,3,4,5
female,17.7,7,5,7,7,0,6,7,3,0,3,7,0,6,0,6,0,7,6,7,1,7,7,4,7,6,0,7,7,7,3,7,7,7,7,7,7,4,7,6,4,4
female,33.7,7,5,7,4,7,6,3,7,5,3,6,5,4,5,6,5,6,3,6,3,5,5,3,4,5,5,6,2,6,6,4,2,3,6,6,1,5,5,6,1,5
female,25.9,2,3,5,2,4,5,3,5,5,5,5,3,2,5,4,2,2,2,5,2,5,5,2,5,4,5,2,2,2,5,5,5,2,5,5,3,2,4,4,5,5
female,18.7,4,6,6,4,4,5,4,2,6,4,5,2,5,4,5,4,5,3,3,4,6,4,2,3,3,3,3,3,3,3,4,2,3,3,3,1,2,2,4,2,4
female,19.6,5,6,3,5,4,4,5,4,5,5,5,4,5,4,7,5,6,6,4,4,3,1,5,3,6,1,2,6,2,4,6,2,3,4,4,2,2,3,4,3,6
female,21.7,5,5,5,4,5,4,4,4,6,4,5,4,4,4,6,4,4,3,4,4,4,2,2,3,2,2,4,4,5,2,5,4,3,3,3,3,2,4,3,3,6
female,20.1,7,6,6,5,6,6,5,6,6,4,6,2,3,6,6,4,3,4,7,5,7,2,6,4,6,4,5,3,0,3,3,1,4,3,2,4,1,6,4,6,6
female,22.1,5,4,5,4,5,4,4,4,5,4,4,3,4,4,4,4,2,5,4,3,4,3,3,5,4,6,3,4,5,4,5,2,4,4,3,3,5,4,4,4,5
female,21.5,6,5,5,6,6,4,4,6,6,4,4,5,4,7,5,5,1,1,6,4,4,2,3,1,6,3,3,4,3,4,2,3,3,3,3,2,3,3,3,2,6
female,23.2,6,5,5,6,5,3,5,6,6,4,5,5,5,5,4,4,5,6,4,5,3,3,3,4,2,5,2,4,2,4,5,2,2,2,2,1,2,7,1,4,5
female,19.7,3,5,4,5,3,5,5,5,4,3,5,4,2,4,4,3,5,3,3,4,3,2,3,3,3,3,3,2,3,3,3,2,3,2,4,2,3,4,4,2,5
female,21.0,3,4,5,3,3,3,4,5,6,4,5,3,4,6,3,4,6,4,5,4,5,4,4,4,5,4,4,5,1,2,3,2,5,2,5,6,2,5,4,4,5
female,22.4,2,6,5,4,5,4,4,4,5,3,1,3,5,4,4,4,6,2,4,4,5,5,6,4,6,5,6,6,1,6,6,6,4,4,4,3,4,4,5,6,5
female,20.8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,6,4,4,4,4,2,4,4,4,1
female,22.7,4,4,5,5,7,3,5,6,5,5,2,3,5,6,5,4,4,1,6,2,4,7,4,2,0,1,6,2,6,5,3,7,4,2,4,2,6,5,3,5,1
female,36.1,5,6,4,4,3,5,4,1,5,5,4,5,4,4,6,2,3,4,5,4,3,4,1,4,5,3,2,3,1,2,6,1,3,5,4,2,0,3,4,3,5
female,31.7,5,4,4,4,4,5,5,4,5,4,4,3,4,4,4,5,3,5,3,4,4,2,3,3,4,3,4,4,4,4,5,3,4,3,3,3,3,4,4,3,4
female,19.3,6,5,6,4,4,4,4,5,4,4,5,4,5,4,5,2,1,4,4,4,5,6,4,4,4,5,5,5,2,3,5,5,4,3,3,3,2,5,3,5,5
female,20.6,6,5,7,4,4,4,3,1,4,4,4,4,4,4,6,5,6,5,3,4,4,1,3,4,4,3,5,4,1,3,5,2,3,3,4,2,3,4,6,5,6
female,22.0,5,7,4,3,4,3,4,4,7,5,5,3,6,5,5,6,6,4,6,4,5,6,2,4,6,4,1,3,6,3,6,1,3,4,3,5,3,3,2,3,5
female,20.9,5,5,6,6,6,5,4,6,6,6,5,4,4,6,6,5,5,6,6,6,6,4,4,5,4,6,4,6,6,6,6,1,5,5,5,2,6,6,6,4,3
female,21.3,7,7,5,4,6,6,4,5,7,5,7,4,6,6,6,4,4,3,7,4,4,2,5,4,4,5,2,4,4,2,7,2,3,3,2,3,3,4,4,4,4
female,25.7,7,7,5,4,7,5,7,6,5,6,5,7,6,6,5,6,5,4,6,7,4,5,4,6,6,5,5,4,3,4,4,1,4,5,3,4,1,4,3,4,5
female,24.6,3,5,5,6,4,4,4,4,5,4,4,4,4,4,5,4,6,4,4,4,3,4,3,3,4,3,4,4,6,3,4,2,3,2,3,0,1,4,4,3,5
female,28.6,6,6,4,5,5,3,4,4,4,5,6,3,5,6,5,5,5,2,5,4,4,3,3,4,4,1,4,7,4,5,3,0,3,6,4,1,4,4,4,3,5
female,23.7,6,6,5,4,5,2,6,6,6,6,5,2,2,3,6,5,5,6,6,1,2,6,5,4,2,1,3,5,2,5,5,1,1,2,6,3,4,6,5,6,4
female,29.2,7,5,2,6,6,4,6,5,6,6,6,1,6,6,6,5,6,1,6,5,0,4,5,4,1,4,5,4,4,2,5,1,2,6,6,3,2,6,5,6,4
female,19.3,5,4,5,5,6,5,5,4,6,5,5,2,4,6,5,2,5,1,5,2,2,0,3,2,3,3,3,4,1,3,4,3,3,3,3,3,3,3,4,3,5
female,36.4,6,4,4,5,5,4,6,5,5,7,4,2,4,3,7,2,4,7,5,4,6,7,5,4,4,4,6,4,3,5,3,4,4,3,3,5,4,5,4,5,6
female,28.7,6,5,5,6,6,4,4,5,6,6,5,4,4,6,6,1,7,6,6,4,3,1,3,4,6,1,4,1,6,3,4,3,3,3,4,1,3,6,3,4,5
female,16.7,6,6,5,4,5,4,4,6,5,5,5,3,5,2,5,5,5,3,5,4,7,6,4,5,5,4,3,4,5,5,4,2,5,4,4,3,3,5,4,4,5
female,18.4,6,4,6,6,5,4,5,5,6,5,6,3,4,6,6,4,3,4,5,5,5,5,2,4,4,2,4,4,4,4,6,1,4,2,3,4,4,5,3,3,4
female,35.7,6,6,6,6,6,5,1,6,6,6,1,1,5,6,6,6,1,1,6,6,6,5,1,1,6,6,1,6,1,1,6,2,1,1,1,2,6,5,6,5,5
female,21.1,5,4,5,5,4,4,4,5,4,4,5,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,4,4,4,6
female,20.8,6,4,4,3,4,4,5,4,4,4,4,3,4,4,4,4,5,4,5,4,4,3,4,3,5,3,3,4,4,3,4,2,3,4,4,3,3,4,4,4,4
female,19.6,3,4,4,5,4,4,4,4,4,4,5,3,4,5,5,2,5,3,4,3,5,5,3,2,3,3,3,3,3,4,4,3,3,2,4,3,5,4,4,4,5
female,20.8,5,5,5,6,6,5,4,4,5,6,6,4,4,4,4,5,4,4,5,5,6,5,5,5,5,4,3,4,4,4,6,4,3,5,5,4,3,4,4,4,5
female,18.5,6,5,4,6,5,5,4,4,6,4,5,5,7,4,4,4,5,5,5,4,5,1,4,3,1,4,5,6,2,2,4,3,3,6,4,2,2,4,3,6,4
female,37.6,6,6,5,4,6,4,4,4,5,4,6,3,5,6,6,4,4,4,5,5,4,4,4,4,2,2,5,3,2,2,3,4,3,3,4,3,2,4,5,4,5
female,18.2,6,6,6,5,2,5,4,4,6,5,5,3,5,6,4,3,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,2,4,3,2,5,4,4,4,4,5
female,19.6,7,5,5,5,4,5,4,5,5,5,6,3,4,4,5,4,6,6,6,4,4,5,4,2,4,5,4,5,1,3,5,2,3,3,3,0,3,5,5,3,5
female,33.2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,2,4,4,4,5,3,4,3,3,4,4,3,3,4,2,3,4,3,4,6
female,31.2,5,5,6,4,5,4,5,5,6,5,4,2,5,5,6,4,4,3,4,4,4,5,1,4,3,4,3,4,2,5,4,1,3,4,4,1,3,4,5,4,5
female,19.5,6,5,5,4,6,3,4,4,6,4,4,4,6,6,3,4,5,3,4,4,4,1,3,4,2,3,3,3,1,4,3,2,3,3,3,2,2,3,2,3,5
female,23.7,6,6,5,6,5,6,5,6,7,5,5,1,7,6,6,5,1,4,5,6,5,5,6,6,5,5,2,4,3,3,6,3,3,1,6,2,1,6,5,6,3
female,21.0,6,5,6,6,6,6,7,6,6,6,6,6,7,7,6,6,6,6,6,7,5,6,1,4,6,6,2,6,1,1,6,6,6,1,6,2,1,5,1,6,4
female,19.9,6,5,6,5,6,4,4,5,5,6,6,5,6,5,6,4,6,6,5,4,4,4,4,4,4,2,4,5,2,2,6,1,3,5,4,1,1,5,4,5,5
female,25.8,7,3,7,3,5,5,5,4,5,4,4,4,6,6,5,4,5,4,4,4,6,6,3,4,6,6,4,6,3,4,6,5,5,4,6,6,3,6,6,4,6
female,20.8,2,6,3,2,5,0,3,5,4,6,5,2,3,1,3,2,4,3,5,3,6,3,2,5,2,2,4,4,1,3,1,0,3,3,2,4,2,6,3,2,1
female,19.9,5,6,5,6,6,5,4,6,6,6,5,2,5,6,5,5,6,5,6,6,5,6,3,6,6,2,6,6,5,3,5,5,6,5,5,5,2,6,5,6,5
female,20.8,2,5,5,4,2,2,4,5,5,2,2,3,5,3,2,2,2,5,2,2,5,3,3,5,4,6,3,5,6,3,4,5,3,3,3,3,3,6,4,5,5
female,31.9,4,5,5,5,5,5,5,5,5,5,5,2,4,5,4,4,5,2,4,4,2,2,2,2,2,2,0,5,6,0,1,2,2,2,5,2,2,5,3,3,2
female,25.7,5,5,5,4,4,4,6,4,5,5,4,4,4,4,5,5,4,5,4,4,4,4,4,4,3,3,3,4,2,3,5,4,3,2,2,2,3,3,4,4,4
female,26.1,6,5,5,5,6,4,4,4,6,5,5,4,6,5,5,5,5,2,7,5,0,5,4,1,1,1,3,5,1,1,4,1,2,3,3,0,1,2,6,3,5
female,34.6,4,3,7,4,6,1,5,3,1,3,6,4,4,3,6,3,1,2,1,5,2,1,6,3,5,4,4,3,4,2,3,3,2,3,3,3,3,6,4,4,4
female,16.3,6,4,4,6,6,3,4,4,6,6,4,2,4,6,6,6,6,6,1,6,3,4,6,4,3,3,4,6,4,4,6,4,3,4,1,4,3,3,3,3,5
female,20.5,5,6,4,4,5,3,4,5,6,4,5,4,5,4,4,4,5,5,5,4,4,0,4,2,3,3,4,4,4,2,3,2,3,3,5,3,3,3,4,4,6
female,20.3,5,5,5,4,3,4,3,4,5,5,2,3,2,5,4,2,5,5,4,4,5,5,4,3,5,2,5,4,3,3,4,5,2,3,4,2,2,5,5,3,4
female,20.7,5,6,5,6,4,3,4,5,5,5,5,3,4,5,5,3,2,1,4,5,2,5,1,4,6,5,5,6,3,1,6,5,2,3,5,2,1,5,4,5,6
female,18.6,3,4,6,5,5,5,4,5,4,5,4,2,4,5,3,2,5,2,4,2,4,4,3,4,4,4,4,4,4,3,5,5,3,3,4,4,4,5,4,3,4
female,20.9,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,3,4,3,4,3,4,4,3,4,3,3,4,4,3,3,4,3,2,4,4,3,5
female,16.4,6,5,4,4,4,5,6,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,3,6,2,4,4,5,4,5,4,4,4,4,4,4,5,4,5,5
female,22.7,6,4,5,6,6,3,4,3,5,5,6,3,4,7,6,5,6,2,6,6,6,6,2,4,6,1,4,4,1,6,6,6,6,4,3,1,6,6,6,5,2
female,20.9,4,3,4,4,6,6,6,4,6,5,4,4,4,4,5,6,2,1,4,4,5,4,2,6,4,4,2,2,6,6,5,4,3,3,4,4,0,5,5,5,2
female,27.1,6,6,6,4,6,4,5,5,5,5,4,4,4,6,6,5,6,5,6,5,5,5,5,1,2,5,4,6,2,1,5,2,5,3,4,1,2,5,4,5,6
female,16.1,6,6,7,6,6,6,6,6,7,7,6,6,1,0,7,1,6,1,6,6,5,6,1,6,1,1,6,1,6,6,6,1,1,1,0,1,0,1,1,6,4
female,20.3,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,5,6,7,4,5,4,3,4,4,5,6,4,4,4,2,0,4,5,4,0,4,6,7,4,5
female,17.3,0,7,1,4,7,7,3,7,7,7,7,4,2,0,4,0,0,5,0,0,7,7,5,0,7,0,4,0,6,0,7,1,0,7,3,0,7,7,2,1,4
female,20.4,4,4,4,3,5,3,5,4,4,5,5,3,4,4,4,4,4,3,6,4,4,3,4,4,6,3,2,5,3,4,4,3,3,3,4,4,2,4,4,4,6
female,22.9,6,4,6,6,4,4,5,4,5,4,4,5,3,5,6,5,4,4,5,6,6,4,3,4,4,3,4,4,6,4,6,5,4,5,6,4,3,6,4,4,5
female,25.4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,5,4,3,3,5,4,5,4,4,4,4,3,4,5,3,3,4,1,3,4,4,3,3,3,3,3,5
female,16.5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,3,4,3,4,4,4,5
female,18.9,3,4,6,3,5,1,5,3,5,3,3,2,5,7,2,2,2,3,2,4,4,3,2,5,1,2,3,6,1,1,4,0,1,5,6,3,1,4,4,5,3
female,20.7,6,4,6,4,5,4,4,1,5,4,4,5,4,4,6,5,5,4,4,6,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,1,3,3,3,6
female,19.9,4,4,4,4,6,4,3,5,5,4,5,3,4,2,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,5,2,3,3,4,2,5,3,4,4,4
female,34.1,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,3,4,4,6,3,4,4,4,4,2,4,3,4,2,3,3,3,4,3,4,2,3,4,4,3,5
female,22.2,6,6,6,5,6,5,4,5,6,5,6,5,6,5,6,5,5,5,4,6,6,5,2,4,5,3,5,4,2,2,6,2,2,6,4,2,3,6,5,5,5
female,26.8,4,6,6,3,7,4,6,5,4,5,4,6,6,6,7,5,5,4,4,5,4,3,5,5,5,4,5,6,2,5,5,1,3,5,5,4,3,6,4,4,5
female,20.7,5,4,4,5,5,3,4,4,5,3,4,3,4,5,5,4,5,5,5,3,4,3,2,4,3,3,2,3,2,3,3,5,5,3,4,4,3,4,4,4,6
female,21.1,6,4,4,4,6,4,6,4,6,6,4,3,6,6,4,4,6,6,6,4,6,6,3,3,6,3,4,6,6,4,4,1,4,4,4,3,1,4,4,4,6
female,22.2,3,4,6,4,4,4,4,4,6,5,3,3,5,3,4,4,3,2,4,3,6,3,3,4,3,3,4,4,3,4,5,1,3,3,4,2,3,4,3,3,6
female,22.6,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,5
female,16.7,5,4,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,4,4,5,4,5,4,3,3,2,4,4,1,1,4,4,3,3,4,4,2,4,4,5,6
female,25.7,5,5,6,4,4,4,5,5,6,3,5,6,5,6,6,7,3,1,6,3,4,1,2,4,4,3,5,4,3,1,6,2,3,2,3,4,3,5,2,5,5
female,25.9,4,4,6,4,6,6,4,4,6,4,4,2,6,4,7,4,4,4,4,6,6,3,3,3,5,3,4,1,3,2,5,3,2,2,4,6,3,5,2,4,6
female,17.2,5,4,4,3,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,1
female,26.0,5,5,5,5,5,4,5,6,6,5,5,5,5,5,5,5,5,4,5,5,4,5,2,4,5,4,3,2,2,4,5,2,3,4,2,3,2,4,3,4,5
female,26.5,5,5,7,3,4,4,4,4,6,6,4,3,6,5,6,4,4,4,5,4,7,6,4,2,7,6,4,5,3,1,4,1,2,4,5,0,0,4,4,6,5
female,19.1,5,6,7,4,5,3,3,4,7,5,7,4,4,5,6,4,3,4,4,4,4,4,3,4,4,3,3,3,1,4,4,3,3,3,3,4,0,2,4,3,5
female,18.3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,5,4,4,5
female,28.2,4,4,5,6,2,2,4,5,5,4,6,4,5,6,4,5,4,4,4,4,3,4,5,4,4,3,3,5,3,4,2,2,3,2,3,3,3,4,4,3,6
female,22.5,6,5,5,6,7,4,7,5,6,7,6,2,6,6,6,5,6,7,6,5,2,2,2,6,2,6,5,5,3,1,5,3,1,2,2,5,1,5,2,2,5
female,18.8,6,5,6,5,6,2,4,5,5,6,2,5,7,3,5,5,1,5,4,1,6,5,2,1,4,5,3,6,5,5,7,1,6,3,4,1,2,6,6,5,3
female,22.0,7,7,7,6,5,4,6,6,7,4,7,4,7,5,6,4,6,7,6,6,6,1,3,6,3,0,1,2,1,3,5,2,3,2,4,0,2,7,6,6,4
female,18.8,5,5,5,5,5,2,5,5,5,5,5,2,2,5,5,5,2,2,2,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,2,2,5,5,5,6
female,31.6,5,7,5,4,4,4,6,6,5,5,4,4,4,4,6,6,5,4,5,4,5,4,4,6,2,1,3,4,2,1,6,2,3,3,4,1,2,4,4,4,4
female,18.9,4,4,5,4,5,4,4,4,4,6,5,3,5,2,5,5,5,3,3,4,5,4,4,4,5,3,2,4,6,3,4,2,4,2,3,5,2,5,3,4,4
female,16.5,7,7,4,2,5,5,4,5,6,4,6,7,4,6,4,4,6,4,5,5,6,7,5,1,7,4,3,3,3,2,3,1,2,4,3,2,0,4,5,3,6
female,19.1,5,4,5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,4,6,6,3,3,5,4,3,5,4,4,4,4,4,3,3,4,4,5
female,17.5,6,5,5,3,2,5,1,6,5,6,5,6,5,5,6,5,6,5,6,5,4,1,2,4,7,0,2,3,5,4,4,2,2,4,4,2,2,2,4,3,2
female,21.1,0,3,5,4,0,3,5,4,6,3,4,1,4,1,3,4,3,2,3,3,5,2,3,3,2,4,3,3,7,4,7,3,4,3,3,3,2,5,4,3,7
female,35.2,6,6,5,4,5,4,4,6,4,4,4,4,4,5,5,4,6,6,5,4,4,2,4,4,4,3,3,4,1,4,3,4,3,4,4,2,3,4,4,3,6
female,19.4,4,4,3,6,5,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,3,4,3,3,3,4,3,4,3,3,3,3,5,4,3,3,3,4,4,2,4
female,20.5,6,6,5,4,4,5,3,5,6,5,6,3,5,4,6,2,1,3,5,4,4,3,3,4,3,3,3,4,4,4,4,2,4,3,4,3,2,4,5,4,5
female,17.5,4,4,3,6,4,4,4,6,6,3,3,4,7,7,5,5,4,1,5,4,3,6,1,4,6,2,5,6,6,4,6,2,3,4,6,3,2,5,3,5,4
female,24.7,5,5,6,5,5,4,4,5,6,5,6,5,5,5,7,5,2,6,6,5,6,2,5,5,5,5,2,5,5,2,5,5,3,4,2,5,2,6,4,6,5
female,19.5,5,6,3,5,4,5,4,5,5,4,4,5,4,6,5,4,4,5,4,4,3,0,4,2,2,1,1,4,2,2,5,3,5,2,3,1,1,3,3,4,3
female,18.1,6,5,4,6,5,4,5,6,7,6,7,4,6,7,7,4,4,5,5,4,4,0,6,5,4,6,1,7,6,1,6,6,1,7,6,1,3,7,4,0,1
female,19.3,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5,3,5,4,4,3,4,3,3,3,3,4,3,4,4,3,4,5,3,4,4,3,4,4,4,3,5
female,29.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5
female,21.4,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,2,4,1,4,4,4,4,4,4,5
female,25.4,7,6,6,4,5,4,6,4,5,4,4,2,4,5,6,3,4,3,6,4,7,3,4,6,6,4,6,2,1,5,6,1,3,3,4,3,2,4,4,5,6
female,16.6,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,3,4,4,4,4
female,25.6,5,5,4,3,4,3,4,4,5,2,6,3,5,5,4,4,1,2,5,3,6,3,4,4,3,3,4,2,2,2,3,5,3,3,3,2,2,4,3,4,6
female,17.9,7,7,6,4,6,7,6,5,6,5,5,7,6,5,5,1,6,6,4,5,6,5,4,3,4,3,3,3,4,3,2,2,3,3,4,3,6,2,3,3,4
female,19.0,5,6,5,6,6,2,6,6,6,0,5,1,7,5,5,7,6,5,6,1,5,1,1,4,6,5,6,5,2,1,4,6,2,5,4,1,6,6,1,6,2
female,18.6,4,4,4,4,4,3,4,5,4,4,4,4,4,4,3,5,3,3,4,3,5,5,4,4,4,3,3,4,3,3,4,4,4,3,1,3,3,3,4,3,6
female,24.9,6,5,6,4,6,4,4,4,6,4,6,5,5,6,6,4,6,1,6,5,5,1,3,1,5,1,1,1,1,2,1,1,3,1,2,1,1,2,4,2,5
female,24.3,6,7,6,7,7,7,6,6,6,7,6,6,4,5,7,6,6,4,6,5,4,1,1,5,0,0,1,7,1,2,5,1,2,1,2,0,1,6,3,3,6
female,38.2,6,4,4,4,6,6,4,6,7,4,7,6,6,7,7,7,7,1,4,5,6,3,5,0,0,3,2,1,0,3,4,0,0,0,4,0,1,1,2,3,5
female,28.5,4,5,7,6,6,7,1,4,6,6,7,4,5,6,7,5,4,3,3,6,6,5,2,4,1,5,0,2,1,5,2,0,3,1,2,0,3,1,5,2,5
female,19.2,6,7,6,3,6,3,5,5,6,3,5,6,6,2,6,3,7,1,4,4,3,1,5,5,2,4,1,1,1,2,1,1,5,2,4,3,1,4,2,2,3
female,19.3,3,4,4,4,4,4,4,5,4,4,4,3,4,4,3,2,4,3,2,3,4,4,2,4,3,3,4,4,4,4,4,3,3,3,3,3,3,4,6,5,3
female,21.1,5,4,6,4,6,5,4,4,6,4,4,6,4,5,5,5,6,5,4,4,4,5,4,4,1,2,5,4,3,3,5,4,4,1,3,3,1,3,4,6,6
female,19.5,4,5,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,6,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,5
female,25.5,5,6,5,4,6,4,5,3,4,4,4,4,5,6,4,4,3,3,6,5,6,4,3,3,3,2,3,5,4,3,3,1,3,2,3,2,3,2,3,2,4
female,25.0,6,4,5,4,7,6,7,5,4,5,5,6,4,6,5,5,5,5,7,5,2,6,4,4,2,5,2,4,1,3,4,1,2,3,4,1,2,1,4,4,5
female,28.9,4,3,4,2,4,4,4,4,5,4,5,3,3,6,4,1,1,2,4,3,6,1,4,4,5,2,1,3,2,4,4,2,4,3,4,4,4,5,6,4,4
female,29.4,5,5,6,2,5,4,6,5,5,5,5,5,6,6,5,5,5,5,5,6,4,1,5,3,2,2,3,3,2,5,1,2,5,5,5,2,5,6,1,5,3
female,34.7,4,4,3,3,6,3,3,4,6,4,4,3,4,4,4,3,3,3,6,3,4,6,3,4,4,1,4,4,3,4,6,3,3,3,4,4,3,4,4,4,6
female,25.3,6,5,6,5,5,4,4,6,6,5,5,6,4,5,6,5,3,4,2,4,5,6,5,4,5,5,4,4,2,4,6,1,5,4,4,1,2,5,2,4,4
female,37.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,1,1,1,0,1,1,1,1,1,6,1,0,1,1,1,0,6,1,1,5
female,18.9,5,6,4,5,6,3,6,4,5,6,6,5,5,5,4,4,6,6,5,4,4,5,3,4,4,4,3,4,0,4,6,7,3,2,4,5,5,6,5,4,5
female,34.4,7,5,5,5,4,4,4,5,6,6,5,4,4,4,6,4,5,4,4,5,3,3,3,3,2,3,3,1,3,3,3,2,3,3,3,1,3,3,3,3,5
female,27.0,4,4,3,4,5,4,4,4,6,5,6,5,5,4,5,3,4,4,6,5,4,3,3,4,4,3,4,4,4,3,4,3,3,3,4,4,3,4,2,4,4
female,22.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4,5,4,4
female,19.7,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,6
female,30.7,4,4,4,3,5,4,4,4,4,4,6,3,4,4,4,4,5,3,4,4,4,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,0,4,4,5
female,25.8,5,6,4,5,4,5,5,5,4,4,5,1,4,4,3,2,4,3,4,3,5,4,4,5,3,2,4,2,3,3,3,4,3,4,5,3,2,3,5,4,3
female,31.4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,2,3,4,3,5,4,3,4,4,3,4,3,2,2,4,3,3,3,3,2,2,4,4,3,4
female,27.8,4,4,5,4,4,4,5,5,5,4,4,4,4,4,5,4,5,4,4,4,5,4,3,3,5,4,4,5,3,3,4,4,3,4,4,3,3,4,4,4,5
female,31.2,3,3,3,4,4,4,3,2,3,3,3,3,4,4,3,4,4,5,3,3,3,3,4,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,3,3,5
female,22.1,4,4,5,5,5,4,4,6,5,4,5,4,7,5,6,5,5,2,1,5,5,2,5,4,5,5,5,6,5,4,3,2,3,2,5,3,1,4,4,4,5
female,17.2,4,4,4,4,3,4,4,3,7,4,4,3,4,3,3,3,3,4,4,3,4,6,4,3,4,4,4,4,4,3,4,3,3,7,5,3,3,3,4,3,4
female,22.0,5,6,4,2,4,5,1,6,6,6,4,3,6,2,6,4,3,1,5,3,4,4,6,3,4,5,5,4,5,5,4,3,3,4,4,2,3,3,4,4,7
female,21.1,4,6,5,6,4,4,6,4,5,6,4,5,4,4,5,4,5,2,4,6,5,3,2,2,4,3,3,3,4,3,2,4,3,3,2,2,1,3,5,4,6
